BatchIndex,Delta,Damkohler,Sigma,CUM_Steam,Woodloading
0,-3.52887803,0.067576026,0.932560122,25.2,108.666275
1,-4.131134008,0.071670668,1.029626399,26.9,109.853065
2,-3.96485206,0.073103135,1.023653388,27.9,112.92115
3,-3.710637687,0.079739694,0.989072306,28.6,112.257874
4,-3.30775875,0.077854985,0.967256838,25.3,112.399788
5,-5.277394738,0.070873555,1.075905611,26.7,116.213272
6,-3.511141202,0.067820632,0.970785743,26.9,117.029556
7,-3.563817068,0.071205168,0.935903879,26.5,111.388268
8,-4.661247636,0.06389935,1.040068129,27.7,114.829414
9,-3.033337556,0.07578064,0.950992542,27.2,115.271973
10,-3.787660598,0.064231187,0.995623878,26.7,104.679939
11,-3.384188267,0.091122012,0.982054719,27.6,114.9542
12,-2.833822628,0.090612576,0.960642902,24.5,114.630318
13,-5.245236817,0.060928876,1.055716254,26,117.882545
14,-3.837173056,0.068237024,0.933057254,28,115.609314
15,-2.76768676,0.072569101,0.861912133,24,116.425835
16,-4.814264126,0.060527512,1.010503314,28.7,115.745872
17,-5.410312132,0.055933397,0.970730785,27.5,115.602592
18,-5.288377788,0.052786434,1.021649743,28.2,109.669983
19,-3.104727915,0.078658724,0.890251225,25,112.075218
20,-2.087265457,0.099324934,0.921721147,25.6,110.879539
21,-4.762598117,0.062362604,0.987953678,27.5,101.224823
22,-4.131721772,0.072240443,0.997137375,24.9,114.422684
23,-3.260866593,0.075229634,0.946796846,26.4,112.327484
24,-3.733463764,0.068755616,0.941004282,28.2,108.801361
25,-9.400079138,0.04725706,1.199390982,29.8,112.863663
26,-6.119933885,0.055458028,1.023077281,29.8,98.70538
27,-4.952597049,0.070992988,1.072743741,29.7,109.349167
28,-2.874257571,0.09185582,1.017656893,27.6,107.509895
29,-3.432605259,0.070060475,0.969081984,28.1,107.402565
30,-7.35878687,0.058392928,1.100640071,27.4,108.327133
31,-3.124634434,0.129090909,1.164611762,28.2,120.494659
32,-4.034007397,0.066178132,0.933645856,26.4,118.935555
33,-5.430459778,0.050701205,0.954466216,25.1,118.510414
34,-4.996690479,0.057232147,1.151523091,29.7,110.8575
35,-4.157634238,0.065312697,1.074354872,27.1,113.945435
36,-5.372878286,0.060524876,1.012183195,30.7,114.411888
37,-2.650288776,0.108419121,1.043031771,28.2,101.899094
38,-4.268452325,0.067640516,0.939961527,26.5,111.050934
39,-3.062822539,0.096602549,1.030591888,27.6,107.783
40,-1.739326038,0.079841182,1.002582918,27.9,107.254471
41,-3.3888833,0.07608417,1.018537757,27.2,102.891068
42,-3.046140393,0.089375408,0.926836901,26.3,104.90345
43,-1.710496633,0.069779905,1.075580249,29.6,103.958
44,-4.578980339,0.065610343,1.09979755,31.1,106.241074
45,-3.098432376,0.073303055,0.886658265,24.2,101.953316
46,-3.275624045,0.071267713,0.913075147,24.8,107.408546
47,-4.328964514,0.061841629,1.00557412,28.1,104.120033
48,-8.114019334,0.050943326,1.127202629,29.8,107.684479
49,-6.773177659,0.060761411,1.182704699,32.2,109.289856
50,-5.132699139,0.061676875,1.028280395,29.6,111.099007
51,-3.428091689,0.098514055,1.040018532,30.4,103
52,-5.263311095,0.062074867,1.078498246,28.1,111.014793
53,-5.201716375,0.059816659,0.999962803,26.7,111.807442
54,-5.938053485,0.059160205,1.118860323,28,109.480247
55,-3.631751603,0.068192748,0.883828812,24.3,111.800377
56,-2.823037871,0.080711611,0.916665076,25.9,113.250626
57,-2.337830998,0.098197109,0.966908456,26.9,110.365677
58,-4.927740561,0.053789196,0.984756973,29,111.274704
59,-3.720011994,0.067910931,1.037083138,28.6,106.230492
60,-4.013447938,0.069203099,1.037844798,28.2,106.287064
61,-5.856077302,0.056952554,1.099664624,29.9,106.51152
62,-4.131665315,0.072534462,0.994603262,24.8,105.792435
63,-2.96462022,0.086584419,0.953327865,25.3,104.764275
64,-5.150058429,0.059035028,1.068651187,28.8,104.925224
65,-8.197117108,0.052062169,1.151991157,27.7,108.624908
66,-2.7593837,0.070713525,1.286408815,27.5,106.9403
67,-3.857401125,0.051070351,1.240538407,29.3,108.4443
68,-5.837674806,0.058198983,1.050860445,26.5,102.180382
69,-4.633324536,0.06458715,1.054332395,29.8,103.242737
70,-3.667018118,0.0792635,0.963924904,27.6,103.280388
71,-4.697709307,0.062825498,1.002301748,29.8,104.001709
72,-5.329824133,0.060909833,1.004291458,29.4,104.504318
73,-4.232709846,0.071847353,1.016681845,27.9,108.92894
74,-3.334832667,0.068869568,0.942624908,25.2,107.928429
75,-2.753167006,0.087653161,0.922468524,26,106.971863
76,-3.576600186,0.065438919,0.933348948,28,111.001137
77,-2.78540355,0.085633304,1.025573846,27.9,110.636551
78,-3.922684149,0.060952646,0.941343726,27.2,106.800842
79,-1.686517741,0.091364969,0.895267773,24.6,109.116547
80,-4.466515139,0.066470774,0.990831282,28.3,107.471825
81,-3.601201907,0.0639093,0.879985587,27.8,112.974442
82,-3.112821411,0.072047658,0.940785693,26.3,90.2041245
83,-5.579945847,0.062813514,1.103853385,27.3,83.24131
84,-2.794645119,0.080496417,0.878021278,24.5,90.19006
85,-3.427989055,0.072518529,0.930581054,26.7,114.594109
86,-2.345892115,0.089628977,0.880140214,24.9,114.481461
87,-1.919559303,0.102947525,0.874069036,25.1,113.801971
88,-4.486375124,0.068579212,1.030523352,29.3,108.336113
89,-5.910614149,0.058210863,0.954260019,28.1,103.625458
90,-3.351081352,0.073165853,0.934989045,27.9,102.756836
91,-11.00943327,0.049778733,1.080281369,29.5,101.756966
92,-7.046097824,0.052218537,1.139015963,30.1,101.372742
93,-5.470679049,0.054091493,1.019597133,28.8,101.961563
94,-3.51818343,0.083836358,1.054791976,29.7,106.83844
95,-1.361978069,0.176470328,0.910856136,27.4,107.105316
96,-4.098954504,0.064938499,0.974583959,28.5,90.21028
97,-6.237864677,0.060881577,1.094186423,26.2,95.21565
98,-4.494286248,0.069533504,1.037523258,25.6,95.20646
99,-3.647364382,0.061679956,0.955452618,26.4,105.19207
100,-3.21511035,0.085125747,1.053821792,30.7,105.797722
